1689990162.3303742 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.5912929 asterix_body -740.87904648260167 -657.56200614515251 1646.9018799528606 0.45350735156305605 0.61163545728527158 0.49268816238171498 -0.42129742951818311 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.6113479 asterix_body -740.88381525697253 -657.55526445934049 1646.9115247326254 0.45359924407287955 0.61168721066850551 0.49256534465403756 -0.42126697393333001 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.6316125 asterix_body -740.88069639532819 -657.56191520501068 1646.9089990211953 0.45361269581287611 0.6116967890806938 0.49255661720088084 -0.42124878549067551 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.6529589 asterix_body -740.87698732852402 -657.55358811213478 1646.8971521777723 0.45358135646712361 0.61172158207451743 0.49256978572407761 -0.42123113047521793 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.6738372 asterix_body -740.8900996483261 -657.56702578484737 1646.9218154639484 0.45355486088598795 0.61167716296295094 0.4925758820391361 -0.42131702660782011 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.6926651 asterix_body -740.89034339855277 -657.56912371734484 1646.922555111468 0.4536404326414859 0.61176784118513738 0.49247551128866746 -0.42121056153127007 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.7123575 asterix_body -740.88576316950446 -657.56434649229527 1646.9133059831497 0.45357132097450792 0.61169694744722491 0.49257235463098442 -0.4212747045889117 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.7332802 asterix_body -740.87281446075804 -657.56719640956248 1646.9140980937848 0.45361678685035056 0.61172371017300742 0.4925515031103363 -0.42121126514313773 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.753618 asterix_body -740.87502884655987 -657.55927482889706 1646.9047168557734 0.45361595057852805 0.61173837360417815 0.49254664651438895 -0.42119654871364148 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1689990162.7745018 asterix_body -740.87748360494254 -657.56359140344341 1646.895494768494 0.45356760899472354 0.61164308663683997 0.49262151617941197 -0.42129941898519874 asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
