duration_s,power_wheels_W,power_hebis_W,total_energy_J,pos_change_xyz_m,heading_change_rad,cost_of_transport,max_accel_steer_radps2,max_accel_bogie_radps2
3.9993972778320312,9.41145587558326,6.002484558140731,1.0946878999187428,"(0.027940553789811196, 0.006154839627726623, -0.002153683572391485)",0.06674815203522319,0.5000372420025699,17.540556985252767,2.2619000963433575
4.000416278839111,7.987283000750911,7.531593884313533,0.6914771617351614,"(0.020872910718328974, 0.006339637195214964, 0.0021543594529023213)",0.02482391285049884,0.41425746224345067,7.6995364490312,20.14859237647772
3.8708627223968506,10.434658859899418,3.642967334319229,0.4046160871305856,"(0.023317690829773863, 0.00690652907690581, 0.0015951702139538892)",0.04988178374854069,0.21743698798257735,15.612394054221205,1.8572679032647956
3.9991941452026367,1.842214857815916,2.0906352764455187,0.6973511837806621,"(0.0014695281244333502, 0.0005258638347009625, -0.00020512141835821174)",0.002382275382775828,5.839090660947895,9.67221828818875,24.864347552006482
3.9679341316223145,7.955220003604941,10.042209428321401,2.5035264849805277,"(0.0008935682213375706, -0.0128899386468464, 0.011072611125570508)",0.02330804478540377,2.5321923469322516,16.068084650075225,32.09811581230942
4.032305479049683,5.166366111658123,11.464799615972181,3.766403264346523,"(0.02588086496953579, 0.02325796541999986, -0.015615990918799172)",0.025598672346865442,1.4146062975764624,20.63718433883997,5.12765103020006
4.048142194747925,8.869632251363981,8.38780431196906,1.2482438948632857,"(0.023331430347199908, -0.006499404197699926, 0.0020543017023824106)",0.06839700621354772,0.6735434075040376,6.2288780963593915,11.646649506352393
4.000080347061157,8.953242598991759,3.7662877811059428,0.1829708627030342,"(0.007030485873726178, -0.0004773237034000344, -0.00041948956054060904)",0.0025888998176557543,0.33933944244997105,1.6983397259222077,23.78738319529664
3.9681646823883057,9.589468762800394,12.117589249894023,1.67730925604529,"(0.012168563407585875, 0.017097460281470384, 0.008201679434382159)",0.01896728473521478,1.0445453893373966,18.725695429236758,5.837780593895074
4.031805992126465,8.778971927518004,6.102635852166401,3.1503820144534225,"(0.017813573531368476, -0.01431324225641381, -0.004143063518000145)",0.014890810412912736,1.801707867969246,25.51994690780925,7.98084660240214
3.983844518661499,9.720034066426283,6.140201207121456,1.1155064110888309,"(0.02617206640508174, 0.006193981787076475, -0.00032031004633104043)",0.054026680773512636,0.5420464170471795,19.729826695172044,3.2064246675681742
3.9996695518493652,5.535410837217772,7.272336114874975,0.6248515646469803,"(0.020048338731800897, 0.004337198853503227, 0.0005046075906156022)",0.04325339464828226,0.39810959493874054,5.591196074646854,14.769273193752573
