1690144380.5010929 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1690144380.8247688 asterix_body -39.548004602428442 289.7417722193004 5055.641469088222 -0.80686914779199959 0.13315154550788291 -0.044993668261755659 0.57376686387994347 asterix_bogie -211.57683026511242 315.87075698723197 5429.2714462715803 -0.55454675369749362 -0.47818647085175847 0.046973584428918531 0.67941819185521601
1690144380.8449223 asterix_body -39.508978001740083 289.74854261635693 5055.7192169686978 -0.80682317429430961 0.13315503464091602 -0.044985617858856249 0.57383133093034211 asterix_bogie -211.56817511823527 315.84167465437463 5429.2655273254577 -0.55450204735937303 -0.4782429239940757 0.047017983160180923 0.67941187389050628
1690144380.8681159 asterix_body -39.537353959906312 289.73355326575205 5055.6409199086693 -0.80685643210760716 0.13319967392905305 -0.04506269257429784 0.57376815750765631 asterix_bogie -211.57944660099224 315.86326240165755 5429.253335991315 -0.55432787296759645 -0.47824914037518118 0.046988700493906653 0.67955163969157972
1690144380.8865695 asterix_body -39.531937605056427 289.74500031520552 5055.5872434570056 -0.80683353675357872 0.13321912522897134 -0.045007236688637445 0.57380018934171861 asterix_bogie -211.58812600881083 315.89173007111339 5429.2666225512921 -0.55415911575381083 -0.47829811929136118 0.046922758927795245 0.67965935453277282
1690144380.9057567 asterix_body -39.519129839966794 289.74726753113328 5055.6422940653392 -0.80684594129441722 0.13316794394233761 -0.045017576361524834 0.57379381622794656 asterix_bogie -211.56926869523528 315.86262575490542 5429.2598138050789 -0.55431021948095416 -0.47818977972707027 0.04692195467689194 0.67961242286530654
1690144380.9260395 asterix_body -39.512097501678831 289.76369084667709 5055.6750750323708 -0.80684710946318094 0.13316869226178826 -0.045009930224026946 0.57379259975484442 asterix_bogie -211.56770822926222 315.85136369151007 5429.2619586767969 -0.55472728593321841 -0.47820943000009225 0.047062125473210738 0.67924850801904313
1690144380.9465353 asterix_body -39.516698028849724 289.74568035542654 5055.6481151109829 -0.80685651965281613 0.13322898901627786 -0.045040499481383327 0.57376297073435556 asterix_bogie -211.58590627164389 315.88306855671954 5429.273911587632 -0.55438999033639025 -0.47812881200387269 0.046919673356763669 0.67959040752402988
1690144380.966815 asterix_body -39.511421367710938 289.75403887322801 5055.6760688124405 -0.80684902043905515 0.13319700011916191 -0.045046149871549125 0.57378049963164779 asterix_bogie -211.60278998639944 315.88382170679319 5429.2705348283525 -0.55498829360542035 -0.47804269495632035 0.047024313222052853 0.679155276594268
1690144380.9867136 asterix_body -39.497081611071955 289.75294205454259 5055.6728002283735 -0.80684696321216332 0.13318102405184548 -0.045010794111807965 0.57378987547815485 asterix_bogie -211.59266430328913 315.89826937632569 5429.2702358730185 -0.55447266717194454 -0.47823091859963912 0.047026496841526065 0.67944371249529523
1690144381.0075729 asterix_body -39.528932448744648 289.73958413349101 5055.6569166459694 -0.80687006064625655 0.1331823256950779 -0.045004486095792787 0.57375758782469288 asterix_bogie -211.60871834613025 315.91248853839852 5429.2830983137856 -0.55448630493169904 -0.47819653352150648 0.046960012385052992 0.67946138242581633
1690144381.0274074 asterix_body -39.499504861428676 289.74809013816554 5055.6700744044228 -0.80688794410484177 0.13310763005206389 -0.045013365547359303 0.57374907529536345 asterix_bogie -211.61595867642387 315.91257361892679 5429.2864160976196 -0.5546666703703762 -0.4781465588262731 0.047017790935801981 0.67934533221208715
1690144381.0476055 asterix_body -39.517495418420452 289.7277440210118 5055.6904965525182 -0.80684227623599192 0.1332047132788533 -0.045062147217869775 0.57378693652499357 asterix_bogie -211.59347445029744 315.89360155674274 5429.2737629859193 -0.55472939677945066 -0.47800562679323716 0.046935895388672946 0.67939895409602669
